order_id,product_id,supplier_id,warehouse_id,order_date,delivery_date,quantity,order_status,stock_level
O00001,P033,S011,W01,2024-05-26,2024-06-02,418,Delivered,542
O00002,P110,S038,W03,2024-03-24,2024-03-28,264,Delivered,808
O00003,P087,S030,W06,2024-08-18,2024-08-26,208,Delivered,627
O00004,P004,S038,W04,2024-06-23,2024-06-24,250,Delivered,599
O00005,P109,S035,W02,2024-04-22,2024-04-25,476,Delivered,516
O00006,P101,S046,W04,2024-09-21,2024-09-29,465,Delivered,982
O00007,P108,S036,W05,2024-04-07,2024-04-09,433,Delivered,740
O00008,P035,S041,W02,2024-05-20,2024-05-29,75,Delivered,172
O00009,P152,S040,W02,2024-07-28,2024-07-31,25,Delayed,975
O00010,P015,S023,W01,2024-01-20,2024-01-21,352,Delayed,897
O00011,P156,S011,W03,2024-04-08,2024-04-09,15,Delivered,796
O00012,P048,S047,W03,2024-12-30,2025-01-09,127,Delivered,830
O00013,P143,S003,W03,2024-03-14,2024-03-16,213,Delivered,641
O00014,P173,S039,W05,2024-05-01,2024-05-03,281,Delayed,927
O00015,P117,S036,W05,2024-03-21,2024-03-30,216,Delayed,763
O00016,P137,S027,W05,2024-11-04,2024-11-12,310,Delivered,69
O00017,P038,S024,W04,2024-12-23,2024-12-24,306,Delivered,42
O00018,P023,S030,W01,2024-11-19,2024-11-22,139,Delivered,924
O00019,P179,S017,W05,2024-07-21,2024-07-26,423,Delivered,154
O00020,P046,S002,W03,2024-09-30,2024-10-10,286,Delivered,564
O00021,P036,S029,W02,2024-11-01,2024-11-10,50,Delivered,282
O00022,P102,S033,W05,2024-03-13,2024-03-21,50,Delivered,607
O00023,P059,S001,W03,2024-05-24,2024-06-02,445,Delivered,560
O00024,P099,S049,W04,2024-09-26,2024-09-30,349,Delivered,121
O00025,P100,S008,W01,2024-08-11,2024-08-12,270,Delivered,509
O00026,P175,S034,W02,2024-06-19,2024-06-27,379,Delivered,534
O00027,P166,S013,W03,2024-06-12,2024-06-16,107,Delivered,926
O00028,P009,S026,W03,2024-01-30,2024-02-05,289,Delivered,306
