product_id,product_name,category,unit_price
P001,Product_1,Grocery,1385.61
P002,Product_2,Medicine,4256.15
P003,Product_3,Medicine,341.33
P004,Product_4,Electronics,892.2
P005,Product_5,Grocery,1534.61
P006,Product_6,Grocery,1982.25
P007,Product_7,Clothing,3809.1
P008,Product_8,Grocery,1996.49
P009,Product_9,Electronics,4976.48
P010,Product_10,Furniture,2931.8
P011,Product_11,Electronics,3803.96
P012,Product_12,Clothing,2059.7
P013,Product_13,Medicine,1866.64
P014,Product_14,Grocery,2768.3
P015,Product_15,Furniture,4144.65
P016,Product_16,Clothing,4667.15
P017,Product_17,Grocery,3542.42
P018,Product_18,Grocery,3424.64
P019,Product_19,Furniture,397.33
P020,Product_20,Furniture,3167.88
P021,Product_21,Grocery,2830.95
P022,Product_22,Medicine,1873.61
P023,Product_23,Clothing,1835.66
P024,Product_24,Clothing,724.18
P025,Product_25,Electronics,3568.75
P026,Product_26,Clothing,4542.18
P027,Product_27,Clothing,2021.19
P028,Product_28,Grocery,3506.55
P029,Product_29,Medicine,2933.54
P030,Product_30,Electronics,1917.94
P031,Product_31,Grocery,2769.88
P032,Product_32,Furniture,1570.9
P033,Product_33,Medicine,3031.06
P034,Product_34,Furniture,2236.72
P035,Product_35,Grocery,4868.25
P036,Product_36,Electronics,197.14
P037,Product_37,Grocery,2407.47
P038,Product_38,Furniture,1030.89
P039,Product_39,Medicine,3604.35
P040,Product_40,Grocery,4501.71
P041,Product_41,Electronics,3371.12
P042,Product_42,Furniture,1170.27
P043,Product_43,Electronics,3135.22
P044,Product_44,Grocery,2574.42
P045,Product_45,Electronics,1793.5
P046,Product_46,Furniture,2412.24
P047,Product_47,Medicine,2696.13
P048,Product_48,Medicine,435.88
P049,Product_49,Electronics,779.33
P050,Product_50,Electronics,694.79
P051,Product_51,Medicine,4972.08
P052,Product_52,Medicine,3017.29
P053,Product_53,Furniture,3892.47
P054,Product_54,Clothing,171.38
P055,Product_55,Furniture,1401.8
P056,Product_56,Medicine,660.89
P057,Product_57,Clothing,2119.45
P058,Product_58,Grocery,1371.45
P059,Product_59,Furniture,235.3
P060,Product_60,Electronics,2369.43
P061,Product_61,Medicine,1623.17
P062,Product_62,Grocery,3513.71
P063,Product_63,Medicine,4600.43
P064,Product_64,Electronics,314.35
P065,Product_65,Grocery,745.19
P066,Product_66,Electronics,3801.19
P067,Product_67,Medicine,1436.53
P068,Product_68,Clothing,2692.75
P069,Product_69,Electronics,4137.87
P070,Product_70,Furniture,1804.48
P071,Product_71,Medicine,4348.97
P072,Product_72,Medicine,3173.67
P073,Product_73,Electronics,1608.88
P074,Product_74,Medicine,2722.17
P075,Product_75,Furniture,3199.93
P076,Product_76,Clothing,1906.01
P077,Product_77,Clothing,2734.52
P078,Product_78,Furniture,3975.09
