supplier_id,supplier_name,region,rating
S001,Supplier_1,South,2.8
S002,Supplier_2,West,3.9
S003,Supplier_3,West,2.2
S004,Supplier_4,South,4.2
S005,Supplier_5,North,3.8
S006,Supplier_6,North,2.5
S007,Supplier_7,West,3.7
S008,Supplier_8,East,3.7
S009,Supplier_9,South,2.6
S010,Supplier_10,East,4.6
S011,Supplier_11,North,3.9
S012,Supplier_12,North,4.7
S013,Supplier_13,East,3.4
S014,Supplier_14,East,4.7
S015,Supplier_15,East,4.0
S016,Supplier_16,West,4.6
S017,Supplier_17,South,2.9
S018,Supplier_18,South,4.5
S019,Supplier_19,West,3.7
S020,Supplier_20,South,4.8
S021,Supplier_21,West,3.0
S022,Supplier_22,South,4.8
S023,Supplier_23,West,3.2
S024,Supplier_24,North,3.4
S025,Supplier_25,North,4.9
S026,Supplier_26,South,2.4
S027,Supplier_27,South,2.7
S028,Supplier_28,West,2.2
S029,Supplier_29,East,2.9
S030,Supplier_30,South,4.7
S031,Supplier_31,East,4.6
S032,Supplier_32,North,2.4
S033,Supplier_33,South,2.1
S034,Supplier_34,East,2.5
S035,Supplier_35,South,4.0
S036,Supplier_36,West,2.4
S037,Supplier_37,East,2.3
S038,Supplier_38,East,3.8
S039,Supplier_39,North,5.0
S040,Supplier_40,East,2.0
S041,Supplier_41,West,2.4
S042,Supplier_42,South,4.8
S043,Supplier_43,North,3.5
S044,Supplier_44,East,4.9
S045,Supplier_45,West,4.6
S046,Supplier_46,South,2.2
S047,Supplier_47,East,2.5
S048,Supplier_48,East,2.0
S049,Supplier_49,South,4.9
S050,Supplier_50,West,2.6
